Id,SalePrice
1461,142468.37486325033
1462,160855.34545118225
1463,192068.31386150426
1464,189318.35742811902
1465,188785.0157292822
1466,181245.98667567145
1467,170128.54392883368
1468,166345.0510171637
1469,204056.51510628354
1470,138418.96390191378
1471,214310.70146071652
1472,102286.14186617453
1473,102725.7928891212
1474,173341.15374241656
1475,100173.18433399612
1476,296233.0214146363
1477,237625.9582511748
1478,244146.20344405968
1479,254439.92589523774
1480,420558.15608133294
1481,309988.9194928723
1482,197599.31521989394
1483,174123.05639791628
1484,166861.26738709287
1485,151391.27821409394
1486,190238.9616182657
1487,312182.9083027153
1488,258112.87666140907
1489,195923.75324195912
1490,227262.48886091931
1491,188935.6492611683
1492,119700.56800019223
1493,194152.86708930403
1494,279689.4970922045
1495,276126.0812311575
1496,227761.35926802055
1497,213059.0894530936
1498,159801.9137359201
1499,174069.5537122273
1500,176399.49382594298
1501,199284.82222730038
1502,149615.52324316732
1503,271951.1197461949
1504,232435.93897654113
1505,222510.2913868163
1506,243934.09223071364
1507,283198.6807608295
1508,244784.10166696974
1509,159677.1636698925
1510,178786.54166164808
1511,162067.5126214946
1512,217908.52860525364
1513,161435.1067602913
1514,173749.87504133937
1515,230752.22009281314
1516,161907.71526318244
1517,146859.1459514003
1518,206436.27031721233
1519,223132.3890479255
1520,137505.18596487827
1521,131062.69879534902
1522,195797.476507715
1523,115137.91503400062
1524,115761.56645379806
1525,102668.1906822816
1526,128743.25165812264
1527,124440.8387574889
1528,122677.37449459449
1529,157235.86662705464
1530,192107.26397774753
1531,151079.37089660196
1532,100042.47808069391
1533,182063.48439791723
1534,107339.30742608316
1535,142876.81792212033
1536,122843.38668743876
1537,130772.03224420777
1538,156366.3797620114
1539,213290.97040357869
1540,156557.06726476122
1541,177315.2228940199
1542,164847.2495565414
1543,196696.78488057572
1544,96792.40432904323
1545,115468.32389566113
1546,131875.48275389583
1547,135349.95107982933
1548,136800.89840996088
1549,123569.4981049961
1550,157292.6842787769
1551,143637.99796987127
1552,186755.61887063287
1553,119501.86159858084
1554,97615.96103352503
1555,195166.60470820937
1556,107989.24652977026
1557,131073.99313829278
1558,72810.05024055339
1559,121794.12272517555
1560,200785.76848167164
1561,212913.69576019706
1562,115230.7326629773
1563,115378.12952237803
1564,185747.54667818247
1565,136038.3787581111
1566,248714.32116402386
1567,96199.40879963631
1568,229344.9952810887
1569,163602.80366979862
1570,118332.80111460053
1571,81645.30691944888
1572,145898.51560080083
1573,230197.27566764597
1574,174481.78771067547
1575,232715.20425374608
1576,249373.97061105134
1577,191194.60448597764
1578,150649.04191767392
1579,147298.58698546558
1580,196008.00943395402
1581,138787.79004867555
1582,120803.49539470221
1583,317094.8085406285
1584,226909.96319182697
1585,138826.52659304417
1586,32873.6044709303
1587,69755.22527763346
1588,146190.0201208657
1589,127983.03818680454
1590,130421.36095971294
1591,75221.10789276927
1592,158412.4657712103
1593,124580.47706062716
1594,125566.15120337464
1595,131612.75748922565
1596,226222.5074972348
1597,206124.999316023
1598,177083.23624231463
1599,173003.21848094283
1600,180345.4580564345
1601,65618.69212667446
1602,133012.4179531945
1603,90721.97375580431
1604,244639.34529166433
1605,253623.70645550275
1606,170243.75589732468
1607,276440.03788408823
1608,210029.84129745726
1609,182139.18723263705
1610,141654.0773477895
1611,172350.101809695
1612,203266.42350072932
1613,198339.9577025032
1614,122289.53350299998
1615,76559.95935169363
1616,76559.95935169363
1617,100960.52351241629
1618,94439.36592295108
1619,130038.6638063177
1620,310771.50895769615
1621,141699.05624695893
1622,119248.40083129847
1623,257098.39374616402
1624,240753.4077762625
1625,122189.04079380023
1626,196414.09722557207
1627,190604.59408435694
1628,238114.02630441156
1629,151502.65960587605
1630,350196.0679756637
1631,222052.31580696924
1632,250083.6470084417
1633,137260.66019848041
1634,204503.4089648773
1635,180844.66061683785
1636,157667.55302765637
1637,244810.0058688421
1638,202914.0837801802
1639,205381.51589019896
1640,246154.90964545342
1641,189944.88405144028
1642,230670.35587667636
1643,223997.68357806135
1644,213307.8747083716
1645,227767.07363653995
1646,172043.02528644554
1647,164030.30898941177
1648,170637.34371079408
1649,143609.68585245544
1650,127227.12579332589
